year,sex,value,ageg,lid,decline
2023,1,2.413548707962036,nnm,147,-.049698114
2009,1,14.77611255645752,hgap,199,-2.2959328
2009,2,10.14229297637939,hgap,199,0
2009,3,12.43822574615479,hgap,199,
2013,3,8.316356658935547,pnm,199,
2013,1,9.057046890258789,nnm,199,.41270256
2013,3,8.70848274230957,nnm,199,0
2013,1,9.579944610595703,pnm,199,-1.283051
2013,2,4.637624904043292,q5_19,199,-1.6579024
2013,2,8.295780181884766,nnm,199,
2013,1,7.974529423765753,q5_19,199,
2013,2,7.033305644989014,pnm,199,0
2013,3,6.316627091843108,q5_19,199,0
2019,2,9.431463241577148,hgap,199,-1.0712433
2019,1,13.25885391235352,hgap,199,-3.0067625
2019,3,11.36698246002197,hgap,199,2.3378868
2023,3,4.396840233497401,q5_19,199,-2.2558813
2023,2,4.298681259155273,pnm,199,-2.6697454
2023,3,4.981603145599365,pnm,199,-4.0176754
2023,1,5.646611213684082,pnm,199,1.263588
2023,3,5.414846897125244,nnm,199,.76126671
2023,2,3.024958695890367,q5_19,199,-3.3369045
2023,1,5.723465442657471,nnm,199,-3.2214417
2023,1,5.718648138366533,q5_19,199,-4.9495707
2023,2,5.074338436126709,nnm,199,-2.8809333
2009,2,8.965549468994141,hgap,36,
2009,1,15.71714687347412,hgap,36,0
2009,3,12.37669467926025,hgap,36,6.7515974
2013,2,48.40104118189315,q5_19,36,
2013,3,69.87272644042969,pnm,36,
2013,3,47.27225980765948,q5_19,36,-2.2232025
2013,1,71.43022918701172,pnm,36,0
2013,3,34.16624450683594,nnm,36,10.467646
2013,1,46.17783871934644,q5_19,36,0
2013,1,39.36325836181641,nnm,36,0
2013,2,68.20922088623047,pnm,36,1.5575027
