year,sex,value,ageg,lid,aapc,projected2050,pct_decrease2050,pop,tercile
2023,1,7.066338788717985,pnm,21,-.024621921,3.6347876,48.561939,,3
2023,3,16.28982832861903,q5_19,31,-.021501577,9.1157007,44.040535,,3
2023,3,11.32274139672518,pnm,27,-.021846944,6.2773361,44.559925,,3
2023,1,22.54447527229786,u20m,33,-.025169112,11.426373,49.316307,,3
2023,2,3.055608365684748,nnm,5,-.016125308,1.9770293,35.29834,,3
2023,1,14.66972101479769,nnm,17,-.020752624,8.3767891,42.897419,,3
2023,1,7.661333245661206,q5_19,33,-.028925391,3.5085418,54.204552,,3
2023,3,51.4763095314571,q5_19,26,-.015619918,33.763622,34.409397,,3
2023,3,13.52711956145447,q5_19,23,-.023782434,7.1176019,47.382725,,3
2023,3,2.302753273397684,pnm,29,-.012590843,1.6391089,28.819605,,3
2023,1,14.09452680491197,q5_19,17,-.016048646,9.1382885,35.164276,,3
2023,2,6.698775570839643,u20m,13,-.052566297,1.620338,75.811432,,3
